time,channel.output,gate.output,pid_controller.output,inflow_to_channel.output
0.0,10.0,0.0,-0.0,10.0
1.0,10.0,0.0,-0.0,10.0
2.0,10.0,0.0,-0.0,10.0
3.0,10.0,0.0,-0.0,10.0
4.0,10.0,0.0,-0.0,10.0
5.0,10.0,0.0,-0.0,10.0
6.0,10.0,0.0,-0.0,10.0
7.0,10.0,0.0,-0.0,10.0
8.0,10.0,0.0,-0.0,10.0
9.0,10.0,0.0,-0.0,10.0
10.0,10.0,0.0,-0.0,10.0
11.0,10.0,0.0,-0.0,10.0
12.0,10.0,0.0,-0.0,10.0
13.0,10.0,0.0,-0.0,10.0
14.0,10.0,0.0,-0.0,10.0
15.0,10.0,0.0,-0.0,10.0
16.0,10.0,0.0,-0.0,10.0
17.0,10.0,0.0,-0.0,10.0
18.0,10.0,0.0,-0.0,10.0
19.0,10.0,0.0,-0.0,10.0
20.0,10.0,0.0,-0.0,10.0
21.0,10.0,0.0,-0.0,10.0
22.0,10.0,0.0,-0.0,10.0
23.0,10.0,0.0,-0.0,10.0
24.0,10.0,0.0,-0.0,10.0
25.0,10.0,0.0,-0.0,10.0
26.0,10.0,0.0,-0.0,10.0
27.0,10.0,0.0,-0.0,10.0
28.0,10.0,0.0,-0.0,10.0
29.0,10.0,0.0,-0.0,10.0
30.0,10.0,0.0,-0.0,10.0
31.0,10.0,0.0,-0.0,10.0
32.0,10.0,0.0,-0.0,10.0
33.0,10.0,0.0,-0.0,10.0
34.0,10.0,0.0,-0.0,10.0
35.0,10.0,0.0,-0.0,10.0
36.0,10.0,0.0,-0.0,10.0
37.0,10.0,0.0,-0.0,10.0
38.0,10.0,0.0,-0.0,10.0
39.0,10.0,0.0,-0.0,10.0
40.0,10.0,0.0,-0.0,10.0
41.0,10.0,0.0,-0.0,10.0
42.0,10.0,0.0,-0.0,10.0
43.0,10.0,0.0,-0.0,10.0
44.0,10.0,0.0,-0.0,10.0
45.0,10.0,0.0,-0.0,10.0
46.0,10.0,0.0,-0.0,10.0
47.0,10.0,0.0,-0.0,10.0
48.0,10.0,0.0,-0.0,10.0
49.0,10.0,0.0,-0.0,10.0
50.0,10.0,0.0,-0.0,10.0
51.0,10.0,0.0,-0.0,15.0
52.0,11.0,1.1458834495706796,0.13,15.0
53.0,11.8,2.044983338259753,0.2240000000000001,15.0
54.0,12.440000000000001,2.8983473194227654,0.3092000000000002,15.0
55.0,12.952000000000002,3.7049635687282976,0.38736000000000026,15.0
56.0,13.361600000000003,4.467680037417939,0.4598880000000004,15.0
57.0,13.689280000000004,5.191002918399723,0.5279104000000006,15.0
58.0,13.951424000000003,5.87993490354575,0.5923283200000005,15.0
59.0,14.161139200000003,6.539377098860935,0.6538626560000005,15.0
60.0,14.328911360000003,7.17384141840356,0.7130901248000006,15.0
61.0,14.463129088000002,7.7873339611692245,0.7704720998400003,15.0
62.0,14.570503270400003,8.383330865255209,0.8263776798720006,15.0
63.0,14.656402616320003,8.96480202506038,0.8811021438976006,15.0
64.0,14.725122093056003,9.53425734000179,0.9348817151180806,15.0
65.0,14.780097674444804,10.093801295082416,0.9879053720944647,15.0
66.0,14.824078139555844,10.645188144073362,1.040324297675572,15.0
67.0,14.859262511644676,11.189873724693184,1.0922594381404578,15.0
68.0,14.887410009315742,11.729062098970747,1.1438075505123664,15.0
69.0,14.909928007452594,12.26374643288788,1.1950460404098935,15.0
70.0,14.927942405962076,12.794744192928682,1.246036832327915,15.0
71.0,14.942353924769662,13.322727073248148,1.2968294658623323,15.0
72.0,14.95388313981573,13.848246213559351,1.3474635726898658,15.0
73.0,14.963106511852585,14.371753307069818,1.397970858151893,15.0
