time,main_reservoir.storage,main_tunnel.output,surge_tank.storage,pressure_pipe_1.output,pressure_pipe_2.output,high_level_tank.storage,final_channel.output
0.0,549.0,43.60869565217392,99.0,39.30749212820004,31.912441506009404,110.9124415060094,9.478260869565219
1.0,597.902,25.095958412098305,98.01,38.66528602898858,28.64870942435153,138.1747454115358,7.965973534971646
2.0,646.7061960000001,14.674820493794696,97.02990000000001,38.06774921043542,25.254910860277214,161.70247195416883,7.111202432810061
3.0,695.412783608,8.827110069362222,96.05960100000001,37.50999093523538,21.76909954461392,181.45029059935564,6.628070940283948
4.0,744.021958040784,5.5642954064068215,95.09900499000001,36.98774810664561,18.223036486738504,197.4051984536022,6.354996618421362
5.0,792.5339141247025,3.762423956610669,94.14801494010001,36.497291494645594,14.643654291632485,209.58128776456465,6.200650262585988
6.0,840.9488462964531,2.786218362315561,93.20653479069901,36.03534817464734,11.0542616313145,218.0157832988221,6.113411017983385
7.0,889.2669486038602,2.2766089819837765,92.27446944279203,35.59903698619473,7.475533104573497,222.7661191121603,6.06410187972974
8.0,937.4884147066525,2.0306435785027217,91.3517247483641,35.185814521634704,3.926329041053554,223.90787166431187,6.036231497238549
9.0,985.6134378772392,1.9336101864882322,90.43820750088047,34.79342968740379,0.4243850222446673,221.53340829075265,6.020478672352224
10.0,1033.6422110014848,1.9206717764131997,89.53382542587165,34.41988528790504,-3.0130952257236814,215.75114546139457,6.011574901764301
11.0,1081.5749265794818,1.9551814995505157,88.63848717161294,34.063405395959485,-6.3391850760655855,206.71507106706156,6.006542335779823
12.0,1129.4117767263228,2.016426087289321,87.7521022998968,33.72240751772729,-9.463960394640091,194.6671722840832,6.003697841962509
13.0,1177.1529531728702,2.0926982072709506,86.87458127689784,33.395478750817155,-12.307374558572102,179.92645807196004,6.002090084587506
14.0,1224.7986472665245,2.177380838596874,86.00583546412886,33.08135528460802,-14.804106828507658,162.8732705175529,6.001181352158156
15.0,1272.3490499719915,2.2667340925990738,85.14577710948758,32.77890471096111,-16.90619974470122,143.93115489138228,6.000667720785045
16.0,1319.8043518720474,2.3586442854500547,84.29431933839271,32.48711070853689,-18.58390720703497,123.54810824820503,6.000377407400244
17.0,1367.1647431683034,2.4519168922474295,83.45137614500878,32.20505974017383,-19.824900551427586,102.17885634367488,6.000213317226225
18.0,1414.430413681967,2.5458769123667424,82.6168623835587,31.931929464288842,-20.632214345207245,80.2694062941717,6.000120570606128
19.0,1461.601552854603,2.6401429890093784,81.79069375972311,31.666978611136134,-21.021425122466205,58.24461359302835,6.000068148603464
20.0,1508.6783497488937,2.7344997376433513,80.97278682212588,31.4095381154124,-21.017547741584252,36.49900818153124,6.000038518775872
21.0,1555.6609930493958,2.8288255838183205,80.16305895390462,31.159003329989815,-20.65204095801755,15.390729621244546,6.0000217714820145
22.0,1602.549671063297,2.9230519758443068,79.36142836436558,30.91482717295097,-19.960182838011654,-4.7618373370326665,6.000012305620269
23.0,1649.3445717211703,3.0171403310890135,78.56781408072193,30.676514082738038,-18.97894759742163,-23.68126196774139,6.000006955350587
24.0,1696.045882577728,3.111069005624798,77.78213593991471,30.44361467501638,-17.745412507295757,-41.13065870044038,6.000003931285114
25.0,1742.6537908125724,3.2048259292471797,77.00431458051557,30.215721010509412,-16.295655145772642,-56.91218061245752,6.000002222030718
26.0,1789.1684832309472,3.2984044426598684,76.23427143471041,29.992462396159173,-14.664065018055007,-70.86484337285681,6.000001255930406
27.0,1835.5901462644854,3.39180094458,75.47192872036331,29.773501652965713,-12.882981619288863,-82.86201444998497,6.000000709873708
28.0,1881.9189659719564,3.485013561841747,74.71720943315968,29.558531793127454,-10.98257457318276,-92.80881384254292,6.000000401232966
29.0,1928.1551280400124,3.578041397716402,73.97003733882808,29.34727305694321,-8.990893103246966,-100.6395967727581,6.00000022678385
30.0,1974.2988177839325,3.6708841070504654,73.2303369654398,29.139470266587736,-6.934026526813959,-106.31562833991258,6.000000128182177
31.0,2020.3502201483645,3.7635416561269492,72.4980335957854,28.934890459533953,-4.836331519522513,-109.82301450518618,6.000000072450796
