time,upstream_channel.output,downstream_channel.output,pid_controller_upstream.output,upstream_inflow.output,downstream_demand.output
0.0,10.0,7.960099750623441,-0.0,10.0,8.0
1.0,10.0,5.970062375233985,-0.0,10.0,8.0
2.0,10.0,4.228159335928002,-0.0,10.0,8.0
3.0,10.0,2.7034511893035624,-0.0,10.0,8.0
4.0,10.0,1.3688562779190785,-0.0,10.0,8.0
5.0,10.0,0.20066970959999142,-0.0,10.0,8.0
6.0,10.0,-0.8218576856119777,-0.0,10.0,8.0
7.0,10.0,-1.7168878993760703,-0.0,10.0,8.0
8.0,10.0,-2.5003183358628447,-0.0,10.0,8.0
9.0,10.0,-3.1860641792714675,-0.0,10.0,8.0
10.0,10.0,-3.786305553427145,-0.0,10.0,8.0
11.0,10.0,-4.311703863473635,-0.0,10.0,8.0
12.0,10.0,-4.771591162292384,-0.0,10.0,8.0
13.0,10.0,-5.174135905148695,-0.0,10.0,8.0
14.0,10.0,-5.526488036676289,-0.0,10.0,8.0
15.0,10.0,-5.834905987215405,-0.0,10.0,8.0
16.0,10.0,-6.104867834196028,-0.0,10.0,8.0
17.0,10.0,-6.341168602999516,-0.0,10.0,8.0
18.0,10.0,-6.548005435543217,-0.0,10.0,8.0
19.0,10.0,-6.729052139340821,-0.0,10.0,8.0
20.0,10.0,-6.887524441168649,-0.0,10.0,8.0
21.0,10.0,-7.026237104364578,-0.0,10.0,8.0
22.0,10.0,-7.147653924269244,-0.0,10.0,8.0
23.0,10.0,-7.253931489821707,-0.0,10.0,8.0
24.0,10.0,-7.346957488597056,-0.0,10.0,8.0
25.0,10.0,-7.42838423565478,-0.0,10.0,8.0
26.0,10.0,-7.4996580217327375,-0.0,10.0,8.0
27.0,10.0,-7.562044802065314,-0.0,10.0,8.0
28.0,10.0,-7.616652682107046,-0.0,10.0,8.0
29.0,10.0,-7.664451599550057,-0.0,10.0,8.0
30.0,10.0,-7.706290552224614,-0.0,10.0,8.0
31.0,10.0,-7.7429126778823925,-0.0,10.0,8.0
